#	Kanji	Reading	Definition	Part	Jisho
122	開ける	あける	open, unlock	Verb	Jisho
123	開く	ひらく	open	Verb	Jisho
124	閉じる	とじる	close	Verb	Jisho
125	閉める	しめる	shut, close	Verb	Jisho
126	閉まる	しまる	be shut, be closed	Verb	Jisho
127	聞く	きく	hear, ask	Verb	Jisho
128	時間	じかん	time, hour	Noun	Jisho
129	高い	たかい	high, tall	Adjective	Jisho
130	くれる	くれる	be given	Verb	Jisho
131	安い	やすい	inexpensive, cheap	Adjective	Jisho
132	低い	ひくい	low, short	Adjective	Jisho
133	前	まえ	front, before	Noun	Jisho
134	後	あと	after	Adverb	Jisho
135	後ろ	うしろ	back, behind	Noun	Jisho
136	午後	ごご	afternoon, p.m.	Noun	Jisho
137	午前	ごぜん	morning, a.m.	Noun	Jisho
138	朝	あさ	morning	Noun	Jisho
139	昼	ひる	daytime, midday	Noun	Jisho
140	かなり	かなり	fairly, rather	Adverb	Jisho
141	晩	ばん	evening (usually from sunset to bedtime)	Noun	Jisho
142	今晩	こんばん	this evening, tonight	Noun	Jisho
143	夜	よる	night (from sunset to sunrise)	Noun	Jisho
144	食べる	たべる	eat	Verb	Jisho
145	飲む	のむ	drink	Verb	Jisho
146	ご飯	ごはん	cooked rice, meal	Noun	Jisho
147	買う	かう	buy	Verb	Jisho
148	見る	みる	see, look at	Verb	Jisho
149	見せる	みせる	show	Verb	Jisho
150	もっと	もっと	more	Adverb	Jisho
151	見つける	みつける	find	Verb	Jisho
152	見える	みえる	be visible	Verb	Jisho
153	見つかる	みつかる	be found, be caught	Verb	Jisho
154	言う	いう	say, tell	Verb	Jisho
155	話す	はなす	speak, tell	Verb	Jisho
156	読む	よむ	read	Verb	Jisho
157	漢字	かんじ	character, kanji	Noun	Jisho
158	書く	かく	write	Verb	Jisho
159	覚える	おぼえる	memorize, learn	Verb	Jisho
160	そこ	そこ	there	Pronoun	Jisho
161	会う	あう	meet	Verb	Jisho
162	仕事	しごと	work, job	Noun	Jisho
163	場合	ばあい	situation, case	Noun	Jisho
164	車	くるま	car, automobile	Noun	Jisho
165	電車	でんしゃ	train	Noun	Jisho
166	駅	えき	railway station	Noun	Jisho
167	道	みち	road, street	Noun	Jisho
168	他	ほか	other	Noun	Jisho
169	止める	やめる	stop, give up, abolish	Verb	Jisho
170	ここ	ここ	here	Pronoun	Jisho
171	歩く	あるく	walk, go on foot	Verb	Jisho
172	走る	はしる	run	Verb	Jisho
173	近く	ちかく	near, close to	Adverb	Jisho
174	近い	ちかい	near, soon	Adjective	Jisho
175	近く	ちかく	vicinity, nearby	Noun	Jisho
176	遠い	とおい	far, distant	Adjective	Jisho
177	長い	ながい	long	Adjective	Jisho
178	短い	みじかい	short, brief	Adjective	Jisho
179	広い	ひろい	wide, big	Adjective	Jisho
180	もらう	もらう	receive	Verb	Jisho
181	全部	ぜんぶ	all, wholly	Adverb	Jisho
182	国	くに	country	Noun	Jisho
183	白い	しろい	white, blank	Adjective	Jisho
184	赤い	あかい	red	Adjective	Jisho
185	部屋	へや	room	Noun	Jisho
186	米	こめ	rice (grain)	Noun	Jisho
187	未だ	まだ	yet, more	Adverb	Jisho
188	有る	ある	exist, possess	Verb	Jisho
189	無い	ない	to not be	Adjective	Jisho
190	とても	とても	very	Adverb	Jisho
191	作る	つくる	make, create	Verb	Jisho
192	使う	つかう	use	Verb	Jisho
193	消す	けす	switch off, turn off	Verb	Jisho
194	売る	うる	sell	Verb	Jisho
