#	Kanji	Reading	Definition	Frequency	Dispersion	6K #	Jisho
82	として	として	as	1,453	0.95		Jisho
83	後	あと	after, later	1,448	0.84	554	Jisho
84	また	また	additionally, moreover	1,433	0.95		Jisho
85	ちょっと	ちょっと	(just) a little, a bit	1,352	0.66	1881	Jisho
86	てくる	てくる	go and . . .	1,351	0.98		Jisho
87	だけ	だけ	only, alone, merely	1,329	0.98		Jisho
88	くらい	くらい	about, around	1,318	0.79		Jisho
88	ぐらい	ぐらい	about, around	1,318	0.79		Jisho
89	ではない	ではない	it is not the case that . . .	1,304	0.96		Jisho
90	えーと	えーと	well, let me see	1,303	0.01		Jisho
91	方	ほう	direction, way; side	1,301	0.95	455	Jisho
92	ていく	ていく	go and . . .	1,245	0.92		Jisho
92	てく	てく	go and . . .	1,245	0.92		Jisho
93	訳	わけ	reason, cause	1,215	0.82	5287	Jisho
94	へ	へ	DESTINATION	1,196	0.95		Jisho
95	どう	どう	how, what	1,173	0.96	90	Jisho
96	し	し	and, besides	1,167	0.88		Jisho
97	本当	ほんとう	truth, right	1,125	0.73	884	Jisho
98	持つ	もつ	have, take, hold	1,106	0.97	818	Jisho
99	出る	でる	go out, come out; attend	1,093	0.95	93	Jisho
100	ため	ため	for	1,084	0.93	400	Jisho
101	すごい	すごい	fantastic, wonderful; terrible	1,082	0.45		Jisho
102	考える	かんがえる	think	1,056	0.96	212	Jisho
103	そこ	そこ	there; then	1,045	0.89	160	Jisho
104	う	う	SOLICITATION	1,038	0		Jisho
105	分かる	わかる	understand, see	1,021	0.94	59	Jisho
106	ておる	ておる	CONTINUATION (polite)	1,017	0.63		Jisho
107	について	について	about, concerning, as to	941	0.65		Jisho
108	それで	それで	and then; so; that is why	934	0.3		Jisho
109	入る	はいる	enter, come in, go in	913	0.94	92	Jisho
110	作る	つくる	make, create, cook	847	0.97	191	Jisho
111	てみる	てみる	try . . .ing	816	0.97		Jisho
112	聞く	きく	hear; listen; listen to, obey	811	0.97		Jisho
112	聴く	きく	hear; listen; listen to, obey	811	0.97		Jisho
113	そして	そして	and, so	809	0.96		Jisho
114	てくれる	てくれる	[do something as a favor]	806	0.89		Jisho
115	場合	ばあい	case, occasion	801	0.95	163	Jisho
116	話	はなし	story, talk	784	0.94	585	Jisho
117	ながら	ながら	with, over, while	781	0.98		Jisho
118	そんな	そんな	that, such	773	0.88		Jisho
119	使う	つかう	use, handle	771	0.95	192	Jisho
120	日本	にほん	Japan	770	0.98		Jisho
120	日本	にっぽん	Japan	770	0.98		Jisho
121	風	ふう	style, type, way, like	769	0.61	748	Jisho
122	おー	おー	Oh!, Wow!	757	0.24		Jisho
123	前	まえ	forward; front; before	752	0.91	133	Jisho
124	多い	おおい	many, much, a lot of	752	0.98	77	Jisho
125	のではない	のではない	it is not that . . .	726	0.89		Jisho
125	んではない	んではない	it is not that . . .	726	0.89		Jisho
126	よく	よく	good, well; often	717	0.9	451	Jisho
127	一つ	ひとつ	one	715	0.96	2	Jisho
128	子供	こども	child	696	0.94	109	Jisho
129	非常	ひじょう	very, extremely	684	0.69	4971	Jisho
130	気	き	mind, heart	681	0.88	116	Jisho
131	ても	ても	even if	671	0		Jisho
132	取る	とる	take, get; have; pass	669	0.98	225	Jisho
133	うち	うち	inside; of; before	655	0.97		Jisho
134	知る	しる	know	645	0.94	215	Jisho
135	より	より	than; from	643	0.99	401	Jisho
136	それから	それから	and then, after that, and	635	0.67		Jisho
137	うー	うー	Woo!, Oooh!	625	0.22		Jisho
138	感じ	かんじ	feeling, impression; atmosphere	624	0.71	3030	Jisho
139	みたい	みたい	like	604	0.74		Jisho
140	でも	でも	but, however	597	0.8		Jisho
141	ここ	ここ	here	589	0.98	170	Jisho
142	とても	とても	very	585	0.72		Jisho
142	とっても	とっても	very	585	0.72		Jisho
143	いろいろ	いろいろ	various	584	0.85		Jisho
144	一	いち	one	583	0.82	3	Jisho
145	そう	そう	be about to	581	0.86	60	Jisho
146	行なう	おこなう	do, carry out, hold	581	0.77		Jisho
147	一番	いちばん	number one, first, most	581	0.83	216	Jisho
148	二	に	two	574	0.78	4	Jisho
149	同じ	おなじ	same	571	0.99	285	Jisho
150	まず	まず	first; anyway	569	0.9		Jisho
151	必要	ひつよう	necessary	566	0.93	912	Jisho
152	仕事	しごと	work, job	562	0.91	162	Jisho
153	余り	あまり	the rest	561	0.86	3296	Jisho
154	によって	によって	by, because of; depend on, depending on	539	0.94		Jisho
155	かもしれない	かもしれない	perhaps, maybe	538	0.89		Jisho
156	僕	ぼく	I (used by male speakers)	533	0.86	393	Jisho
157	皆	みな	everyone; everything	517	0.86	5438	Jisho
157	皆	みんな	everyone; everything	517	0.86	5438	Jisho
158	彼	かれ	he	516	0.78	308	Jisho
159	方	かた	person, man	505	0.69	455	Jisho
160	食べる	たべる	eat	504	0.81	144	Jisho
161	ほど	ほど	about; extent	504	0.95		Jisho
162	しかし	しかし	but, however	490	0.92		Jisho
163	書く	かく	write	488	0.96	158	Jisho
164	入れる	いれる	put in; include	488	0.95	91	Jisho
165	次	つぎ	next, following, coming	487	0.96	259	Jisho
166	結構	けっこう	quite	481	0.61	3187	Jisho
167	問題	もんだい	problem, question	477	0.85	868	Jisho
168	例えば	たとえば	for example, such as	470	0.89	1555	Jisho
169	目	め	eye	467	0.89		Jisho
169	眼	め	eye	467	0.89		Jisho
170	頃	ころ	time, about, when	467	0.82	1900	Jisho
171	上	うえ	top; above; up; on	463	0.98	2026	Jisho
172	てくださる	てくださる	[do something as a favor (honorific)]	458	0.73		Jisho
173	他	ほか	other, another; else	454	0.98	635	Jisho
174	いつ	いつ	when	452	0.92	220	Jisho
175	家	いえ	house, home	444	0.9	507	Jisho
176	付く	つく	stick; be stained with	436	0.93	1542	Jisho
177	日	ひ	day; sun	436	0.99		Jisho
177	陽	ひ	day; sun	436	0.99		Jisho
178	出す	だす	take out; pay; send	434	0.99	95	Jisho
179	一人	ひとり	one person; alone	434	0.94	89	Jisho
180	人間	にんげん	human being, man	434	0.88	545	Jisho
181	どこ	どこ	where	430	0.94	100	Jisho
182	ございます　(<ござる)	ございます	[very polite form of “de aru”]	428	0.35		Jisho
183	時間	じかん	time	423	0.97	128	Jisho
184	ただ	ただ	just	422	0.93	4012	Jisho
185	だから	だから	so, therefore, because	420	0.88		Jisho
186	違う	ちがう	be different; be wrong	416	0.94	286	Jisho
187	受ける	うける	get, receive, take	416	0.95	810	Jisho
188	言葉	ことば	word; language	413	0.94	369	Jisho
189	なんか	なんか	such as, like	411	0.67		Jisho
190	少し	すこし	a little, a few	410	0.95	76	Jisho
191	まま	まま	as it is	410	0.96	456	Jisho
192	買う	かう	buy	409	0.81	147	Jisho
193	まだ	まだ	yet, still	408	0.96		Jisho
194	手	て	hand	407	0.91	104	Jisho
195	話す	はなす	talk, tell, speak	404	0.87	155	Jisho
196	好き	すき	favorite, like, love	403	0.79	111	Jisho
197	返る	かえる	return	392	0.83	2483	Jisho
198	てもらう	てもらう	[receive a favor]	389	0.95		Jisho
199	掛ける	かける	hang; take; cost	388	0.98	392	Jisho
200	終わる	おわる	end, finish	385	0.87	268	Jisho
201	意味	いみ	meaning, sense	385	0.97	1214	Jisho
202	のである	のである	ASSERTION (formal)	384	0.71		Jisho
203	いろんな	いろんな	various	384	0.61		Jisho
204	付ける	つける	put; attach; apply	381	0.96	1543	Jisho
205	形	かたち	form, shape, figure	380	0.91	1088	Jisho
206	かなり	かなり	considerably, rather	377	0.9	140	Jisho
207	三	さん	three	375	0.81	6	Jisho
208	最初	さいしょ	first	373	0.89	550	Jisho
209	間	あいだ	distance; period	372	0.97	4124	Jisho
210	感じる	かんじる	feel	368	0.95	331	Jisho
211	しか	しか	only, just, no more than	366	0.9		Jisho
212	かかる	かかる	hang; take; cost	363	0.93	2854	Jisho
213	大きな	おおきな	big, large, great	363	0.96		Jisho
214	住む	すむ	live	362	0.75	217	Jisho
215	最近	さいきん	recently, lately	357	0.92	648	Jisho
216	特に	とくに	especially, particularly	355	0.95	1172	Jisho
217	誰	だれ	who, whose, whom	354	0.93	365	Jisho
218	こんな	こんな	such, like that	349	0.92		Jisho
219	友達	ともだち	friend	349	0.7	114	Jisho
220	大きい	おおきい	big, large, great	348	0.99	73	Jisho
221	すぐ	すぐ	soon	347	0.91		Jisho
222	一緒	いっしょ	together, with	344	0.9	3207	Jisho
223	生活	せいかつ	life	341	0.92	832	Jisho
224	国	くに	country	340	0.74	182	Jisho
225	あげる	あげる	raise, lift	340	0.98	110	Jisho
226	あなた	あなた	you	336	0.86		Jisho
226	あんた	あんた	you	336	0.86		Jisho
227	現在	げんざい	present time, now	335	0.97	1030	Jisho
228	高い	たかい	high, tall; expensive	335	0.98	129	Jisho
229	なんて	なんて	[expresses belittlement]	333	0.85		Jisho
230	悪い	わるい	bad	329	0.89	208	Jisho
231	気持ち	きもち	feeling	328	0.92	228	Jisho
232	乗る	のる	ride, get on, take	326	0.86	255	Jisho
233	において	において	at; in; on	325	0.43		Jisho
234	見える	みえる	see, be seen	324	0.93	152	Jisho
235	変わる	かわる	change	323	0.99	970	Jisho
236	べし	べし	must, should	321	0.88		Jisho
237	あるいは	あるいは	or; perhaps, probably, maybe	319	0.72		Jisho
238	大変	たいへん	serious, terrible; hard, difficult	318	0.91	972	Jisho
239	による	による	be due to, be based on	317	0.72		Jisho
240	会社	かいしゃ	company, firm	317	0.92	607	Jisho
241	ほとんど	ほとんど	almost, nearly	317	0.95	431	Jisho
242	実際	じっさい	actually, in fact	315	0.95	1247	Jisho
243	先生	せんせい	teacher	315	0.89	231	Jisho
244	彼女	かのじょ	she; girlfriend	315	0.82	307	Jisho
245	二人	ふたり	two people	315	0.91	457	Jisho
246	心	こころ	mind, heart; thought; feeling	312	0.94	2272	Jisho
247	あの	あの	that, those	311	0.91		Jisho
248	らしい	らしい	seem, look	311	0.82		Jisho
249	ある	ある	one, a, some, a certain	310	0.94		Jisho
250	金	かね	money	310	0.93	410	Jisho
251	顔	かお	face	310	0.83	329	Jisho
252	ていただく	ていただく	[receive a favor (humble)]	307	0.84		Jisho
253	ずっと	ずっと	all the time, for a long time	304	0.8	586	Jisho
254	さらに	さらに	again, still more, moreover	304	0.91		Jisho
255	町	まち	town, city	304	0.74		Jisho
255	街	まち	town, city	304	0.74		Jisho
256	及び	および	and, as well as	303	0.42		Jisho
257	たくさん	たくさん	many, much	301	0.89	1641	Jisho
258	いー	いー	good, great	300	0.01		Jisho
259	大体	だいたい	almost, nearly	298	0.64	4077	Jisho
260	もちろん	もちろん	of course, needless to say	298	0.96	541	Jisho
261	読む	よむ	read	298	0.93	156	Jisho
262	人たち	ひとたち	people	295	0.85		Jisho
263	今日	きょう	today	295	0.76	2006	Jisho
264	昔	むかし	ancient times, in the past, once	292	0.83	4338	Jisho
265	うん	うん	yes, yeah	291	0.46		Jisho
266	すべて	すべて	everything, all	290	0.98		Jisho
267	教える	おしえる	teach, tell	290	0.65	237	Jisho
268	子	こ	child	287	0.9	500	Jisho
269	ておく	ておく	do something in advance, in preparation for something	287	0.99		Jisho
270	に対して	にたいして	to, toward; for; against	287	0.88		Jisho
271	ばかり	ばかり	only, just, almost	286	0.94		Jisho
272	なぜ	なぜ	why	283	0.95	556	Jisho
273	水	みず	water	282	0.97	46	Jisho
274	当時	とうじ	then, at that time	282	0.88	883	Jisho
275	場所	ばしょ	place, spot, position	280	0.92	779	Jisho
276	置く	おく	put, place; leave	280	0.99	342	Jisho
277	楽しい	たのしい	pleasant, happy, enjoyable	279	0.82	274	Jisho
278	にとって	にとって	for	279	0.96		Jisho
279	声	こえ	voice	275	0.9	1735	Jisho
280	普通	ふつう	normal, regular, ordinary, common	275	0.82	1180	Jisho
281	残る	のこる	remain, be left	273	0.91	925	Jisho
282	最後	さいご	last, end	272	0.95	555	Jisho
283	車	くるま	car; wheel	271	0.9	622	Jisho
284	初めて	はじめて	for the first time, first	271	0.95	549	Jisho
285	今度	こんど	this time, next time	270	0.86	645	Jisho
286	体	からだ	body	266	0.93	98	Jisho
287	私達	わたしたち	we	264	0.92		Jisho
287	私達	わたくしたち	we	264	0.92		Jisho
288	強い	つよい	strong, powerful	264	1	239	Jisho
289	全く	まったく	entirely, completely; (not) at all	263	0.96	660	Jisho
290	呼ぶ	よぶ	call	261	0.96	371	Jisho
291	結局	けっきょく	after all, in the end, finally	259	0.79	2699	Jisho
292	歩く	あるく	walk	258	0.87	171	Jisho
293	男	おとこ	man, male	256	0.83	107	Jisho
294	女性	じょせい	woman, female	254	0.97	828	Jisho
295	学校	がっこう	school	253	0.93	235	Jisho
296	生きる	いきる	live	253	0.91	229	Jisho
297	なかなか	なかなか	very, quite; (not) easily	251	0.89	4403	Jisho
298	先	さき	end, front	250	0.94	62	Jisho
299	もっと	もっと	more	249	0.96	150	Jisho
300	ことができる	ことができる	can, be able to	246	0.81		Jisho
301	テーマ	てーま	theme, subject	245	0.66	4352	Jisho
302	世界	せかい	world	245	0.99	674	Jisho
303	状態	じょうたい	state, conditions	244	0.97	1302	Jisho
304	と	と	well, erm (abbreviation of “eeto”)	243	0.19		Jisho
305	もし	もし	if, in case	242	0.93	566	Jisho
306	全然	ぜんぜん	(not) at all; utterly, completely	241	0.67	887	Jisho
307	飲む	のむ	drink	241	0.85	145	Jisho
308	新しい	あたらしい	new, fresh	240	1	205	Jisho
309	の	の	EMOTION/QUESTION	239	0.8		Jisho
310	早い	はやい	early, soon	236	0.96	263	Jisho
311	会う	あう	meet, see	236	0.9	161	Jisho
